Station Name,NAME,ADDRESS,STATION_TYPE,NUMBER_OF_LINES,X,Y,Station_ID
Southern Ave,Southern Ave,"1411 SOUTHERN AVENUE, TEMPLE HILLS, MD",['Residential'],1,-8568824.08282108,4698935.08117008,79
Spring Hill,Spring Hill,"1576 SPRING HILL ROAD VIENNA, VA 22182",['Residential'],1,-8598491.16643054,4711500.75129897,80
Stadium-Armory,Stadium-Armory,"290 19TH STREET SE, WASHINGTON, DC",['Events'],3,-8569050.59193331,4705457.70276832,81
Suitland,Suitland,"4500 SILVER HILL ROAD, SUITLAND, MD",['Residential'],1,-8564016.8626885,4699346.52703401,82
Takoma,Takoma,"327 CEDAR STREET NW, WASHINGTON, DC",['Residential'],1,-8573624.46663514,4718246.72360472,83
Tenleytown-AU,Tenleytown-AU,"4501 WISCONSIN AVENUE NW, WASHINGTON, DC",['University'],1,-8580460.66828588,4714348.74113695,84
Twinbrook,Twinbrook,"1600 CHAPMAN AVENUE, ROCKVILLE, MD",['Residential'],1,-8585050.44281144,4730624.60226523,85
Tysons,Tysons,"1943 CHAIN BRIDGE ROAD MCLEAN, VA 22102",['Jobs'],1,-8596282.32962069,4710316.31738686,86
U Street,U Street,"1260 U STREET NW, WASHINGTON, DC","['Residential', 'Tourist']",1,-8574661.87451332,4709790.95626468,87
Union Station,Union Station,"605 1ST STREET NE, WASHINGTON, DC","['Jobs', 'Tourist']",1,-8572426.40011682,4707039.11047,88
Van Dorn Street,Van Dorn Street,"5690 EISENHOWER AVENUE, ALEXANDRIA, VA",['Residential'],1,-8585973.67750757,4692965.86238618,89
Van Ness-UDC,Van Ness-UDC,"4230 CONNECTICUT AVENUE NW, WASHINGTON, DC",['University'],1,-8578612.63666281,4713549.18258664,90
Vienna,Vienna,"2900 NUTLEY ST., FAIRFAX, VA",['Residential'],1,-8601949.22475387,4704155.22937674,91
Virginia Sq-GMU,Virginia Sq-GMU,"3600 FAIRFAX DRIVE, ARLINGTON, VA","['Residential', 'Jobs']",2,-8583064.4280534,4704979.63057012,92
Waterfront,Waterfront,"399 M STREET SW, WASHINGTON, DC","['Residential', 'Events']",1,-8573549.71602008,4703992.32465403,93
West Falls Church,West Falls Church,"7040 HAYCOCK ROAD, FALLS CHURCH, VA","['Residential', 'Jobs']",1,-8592650.99056343,4707470.29940386,94
West Hyattsville,West Hyattsville,"2700 HAMILTON ST., HYATTSVILLE, MD",['Residential'],1,-8568214.33492576,4715234.62391921,95
Wheaton,Wheaton,"11171 GEORGIA AVENUE, SILVER SPRING, MD",['Residential'],1,-8577178.93900163,4727049.56008644,96
Wiehle-Reston East,Wiehle-Reston East,"1862 WIEHLE AVENUE RESTON, VA 20190",['Residential'],1,-8609456.34417106,4714188.63322189,97
Woodley Park,Woodley Park,"2622 CONNECTICUT AVENUE NW, WASHINGTON, DC",['Tourist'],1,-8577436.19401395,4710947.44988377,98
