Station Name,AM Peak (Open-9:30am),Midday (9:30am-3pm),PM Peak (3pm-7pm),Evening (7pm-12am),Late Night (12am-Close),MONTH,SEASON,Total Daily Entries
Rhode Island Ave,"1,294.00","1,255.00","1,049.00",511.00,14.0,March,Spring,4123.0
Rockville,771.00,677.00,509.00,195.00,5.0,March,Spring,2157.0
Ronald Reagan Washington National Airport,638.00,"2,026.00","1,757.00","1,498.00",39.0,March,Spring,5958.0
Rosslyn,"1,435.00","1,966.00","2,589.00",848.00,30.0,March,Spring,6868.0
Shady Grove,"2,525.00","1,586.00",890.00,231.00,6.0,March,Spring,5238.0
Shaw-Howard U,667.00,944.00,"1,236.00",610.00,40.0,March,Spring,3497.0
Silver Spring,"1,905.00","1,645.00","1,472.00",628.00,27.0,March,Spring,5677.0
Smithsonian,257.00,"2,922.00","6,369.00","1,277.00",21.0,March,Spring,10846.0
Southern Ave,"1,153.00",586.00,368.00,186.00,8.0,March,Spring,2301.0
Spring Hill,142.00,196.00,199.00,87.00,5.0,March,Spring,629.0
Stadium-Armory,568.00,612.00,582.00,234.00,14.0,March,Spring,2010.0
Suitland,"1,053.00",517.00,316.00,136.00,5.0,March,Spring,2027.0
Takoma,"1,202.00",980.00,915.00,229.00,8.0,March,Spring,3334.0
Tenleytown-AU,651.00,"1,032.00","1,523.00",585.00,14.0,March,Spring,3805.0
Twinbrook,803.00,631.00,497.00,178.00,7.0,March,Spring,2116.0
Tysons,219.00,477.00,852.00,465.00,7.0,March,Spring,2020.0
U Street,919.00,"1,257.00","1,499.00","1,320.00",105.0,March,Spring,5100.0
Union Station,"3,121.00","3,410.00","4,893.00","1,960.00",34.0,March,Spring,13418.0
Van Dorn Street,613.00,397.00,230.00,98.00,6.0,March,Spring,1344.0
Van Ness-UDC,856.00,"1,008.00",953.00,309.00,10.0,March,Spring,3136.0
Vienna,"1,620.00","1,394.00",711.00,197.00,7.0,March,Spring,3929.0
Virginia Sq-GMU,686.00,609.00,580.00,209.00,10.0,March,Spring,2094.0
Waterfront,678.00,909.00,"1,346.00",861.00,33.0,March,Spring,3827.0
West Falls Church,485.00,332.00,181.00,60.00,4.0,March,Spring,1062.0
West Hyattsville,"1,084.00",654.00,466.00,141.00,7.0,March,Spring,2352.0
Wheaton,723.00,559.00,458.00,185.00,10.0,March,Spring,1935.0
Wiehle-Reston East,614.00,497.00,370.00,87.00,6.0,March,Spring,1574.0
Woodley Park,858.00,"1,342.00","1,511.00",415.00,24.0,March,Spring,4150.0
Addison Road,717.00,362.00,201.00,115.00,18.0,April,Spring,1413.0
Anacostia,"1,180.00","1,092.00",998.00,327.00,13.0,April,Spring,3610.0
Archives,161.00,"1,149.00","3,338.00",775.00,12.0,April,Spring,5435.0
Arlington Cemetery,36.00,753.00,508.00,32.00,4.0,April,Spring,1333.0
Ashburn,647.00,357.00,186.00,57.00,1.0,April,Spring,1248.0
Ballston-MU,"1,801.00","1,495.00","1,724.00",650.00,20.0,April,Spring,5690.0
Benning Road,732.00,464.00,309.00,106.00,5.0,April,Spring,1616.0
Bethesda,"1,297.00","1,343.00","1,581.00",578.00,18.0,April,Spring,4817.0
Braddock Road,950.00,576.00,530.00,201.00,9.0,April,Spring,2266.0
Branch Ave,"1,385.00",601.00,362.00,139.00,9.0,April,Spring,2496.0
Brookland-CUA,"1,115.00","1,165.00","1,295.00",413.00,12.0,April,Spring,4000.0
Capitol Heights,660.00,375.00,268.00,113.00,11.0,April,Spring,1427.0
Capitol South,526.00,"1,195.00","2,473.00",509.00,6.0,April,Spring,4709.0
Cheverly,257.00,147.00,103.00,44.00,9.0,April,Spring,560.0
Clarendon,856.00,788.00,833.00,512.00,36.0,April,Spring,3025.0
Cleveland Park,720.00,754.00,693.00,287.00,9.0,April,Spring,2463.0
College Park-U of Md,674.00,762.00,743.00,264.00,6.0,April,Spring,2449.0
Columbia Heights,"1,816.00","2,297.00","2,812.00","1,086.00",25.0,April,Spring,8036.0
Congress Heights,619.00,481.00,398.00,165.00,7.0,April,Spring,1670.0
Court House,"1,387.00","1,154.00","1,024.00",422.00,16.0,April,Spring,4003.0
Crystal City,"1,452.00","1,583.00","1,784.00",510.00,12.0,April,Spring,5341.0
Deanwood,375.00,324.00,246.00,114.00,10.0,April,Spring,1069.0
Downtown Largo,"1,154.00",455.00,322.00,145.00,10.0,April,Spring,2086.0
Dulles Airport,355.00,533.00,949.00,541.00,2.0,April,Spring,2380.0
Dunn Loring,733.00,463.00,422.00,128.00,4.0,April,Spring,1750.0
Dupont Circle,"1,580.00","2,797.00","4,111.00","2,201.00",82.0,April,Spring,10771.0
East Falls Church,"1,174.00",755.00,545.00,161.00,8.0,April,Spring,2643.0
Eastern Market,909.00,"1,285.00","1,182.00",651.00,21.0,April,Spring,4048.0
Eisenhower Ave,477.00,347.00,357.00,126.00,4.0,April,Spring,1311.0
Farragut North,467.00,"1,934.00","5,613.00","1,748.00",63.0,April,Spring,9825.0
Farragut West,623.00,"1,841.00","5,196.00","1,429.00",33.0,April,Spring,9122.0
Federal Center SW,189.00,585.00,"1,494.00",178.00,7.0,April,Spring,2453.0
Federal Triangle,85.00,"1,007.00","2,676.00",394.00,11.0,April,Spring,4173.0
Foggy Bottom-GWU,"1,191.00","3,188.00","6,246.00","2,805.00",38.0,April,Spring,13468.0
Forest Glen,629.00,322.00,209.00,59.00,8.0,April,Spring,1227.0
Fort Totten,"2,484.00","1,673.00","1,457.00",465.00,23.0,April,Spring,6102.0
Franconia-Springfield,"1,555.00",975.00,594.00,178.00,7.0,April,Spring,3309.0
