Station Name,AM Peak (Open-9:30am),Midday (9:30am-3pm),PM Peak (3pm-7pm),Evening (7pm-12am),Late Night (12am-Close),MONTH,SEASON,Total Daily Entries
Smithsonian,175.00,"1,674.00","3,811.00","1,300.00",20.0,July,Summer,6980.0
Southern Ave,"1,125.00",612.00,359.00,196.00,9.0,July,Summer,2301.0
Spring Hill,160.00,192.00,245.00,113.00,6.0,July,Summer,716.0
Stadium-Armory,502.00,528.00,412.00,195.00,12.0,July,Summer,1649.0
Suitland,"1,062.00",540.00,352.00,182.00,7.0,July,Summer,2143.0
Takoma,"1,340.00",980.00,700.00,313.00,18.0,July,Summer,3351.0
Tenleytown-AU,685.00,825.00,992.00,397.00,11.0,July,Summer,2910.0
Twinbrook,994.00,690.00,557.00,213.00,9.0,July,Summer,2463.0
Tysons,262.00,481.00,992.00,563.00,10.0,July,Summer,2308.0
U Street,869.00,"1,098.00","1,356.00","1,114.00",91.0,July,Summer,4528.0
Union Station,"3,043.00","3,270.00","4,625.00","2,059.00",29.0,July,Summer,13026.0
Van Dorn Street,635.00,375.00,261.00,137.00,10.0,July,Summer,1418.0
Van Ness-UDC,817.00,867.00,778.00,274.00,10.0,July,Summer,2746.0
Vienna,"1,634.00","1,096.00",780.00,284.00,7.0,July,Summer,3801.0
Virginia Sq-GMU,692.00,568.00,596.00,251.00,7.0,July,Summer,2114.0
Waterfront,609.00,878.00,"1,159.00","1,115.00",32.0,July,Summer,3793.0
West Falls Church,514.00,311.00,203.00,87.00,6.0,July,Summer,1121.0
West Hyattsville,"1,043.00",610.00,426.00,146.00,6.0,July,Summer,2231.0
Wheaton,55.00,54.00,22.00,19.00,13.0,July,Summer,163.0
Wiehle-Reston East,632.00,428.00,407.00,127.00,9.0,July,Summer,1603.0
Woodley Park,927.00,"1,325.00","1,386.00",437.00,26.0,July,Summer,4101.0
Addison Road,658.00,368.00,196.00,108.00,7.0,August,Summer,1337.0
Anacostia,999.00,"1,028.00",940.00,296.00,14.0,August,Summer,3277.0
Archives,151.00,901.00,"2,525.00",588.00,12.0,August,Summer,4177.0
Arlington Cemetery,44.00,517.00,372.00,41.00,6.0,August,Summer,980.0
Ashburn,644.00,394.00,241.00,78.00,2.0,August,Summer,1359.0
Ballston-MU,"1,529.00","1,288.00","1,589.00",604.00,22.0,August,Summer,5032.0
Benning Road,660.00,484.00,298.00,128.00,7.0,August,Summer,1577.0
Bethesda,"1,098.00","1,187.00","1,453.00",562.00,16.0,August,Summer,4316.0
Braddock Road,815.00,493.00,476.00,196.00,12.0,August,Summer,1992.0
Branch Ave,"1,229.00",504.00,326.00,123.00,4.0,August,Summer,2186.0
Brookland-CUA,862.00,994.00,"1,067.00",338.00,14.0,August,Summer,3275.0
Capitol Heights,539.00,301.00,189.00,81.00,6.0,August,Summer,1116.0
Capitol South,406.00,938.00,"1,939.00",356.00,7.0,August,Summer,3646.0
Cheverly,235.00,131.00,87.00,37.00,8.0,August,Summer,498.0
Clarendon,741.00,711.00,787.00,505.00,51.0,August,Summer,2795.0
Cleveland Park,650.00,715.00,598.00,290.00,16.0,August,Summer,2269.0
College Park-U of Md,605.00,544.00,537.00,183.00,6.0,August,Summer,1875.0
Columbia Heights,"1,550.00","2,124.00","2,499.00","1,030.00",25.0,August,Summer,7228.0
Congress Heights,499.00,401.00,325.00,158.00,5.0,August,Summer,1388.0
Court House,"1,148.00",967.00,945.00,433.00,17.0,August,Summer,3510.0
Crystal City,"1,153.00","1,322.00","1,572.00",478.00,18.0,August,Summer,4543.0
Deanwood,324.00,267.00,179.00,71.00,6.0,August,Summer,847.0
Downtown Largo,"1,044.00",449.00,323.00,157.00,9.0,August,Summer,1982.0
Dulles Airport,387.00,547.00,996.00,638.00,6.0,August,Summer,2574.0
Dunn Loring,647.00,391.00,390.00,128.00,5.0,August,Summer,1561.0
Dupont Circle,"1,293.00","2,436.00","3,346.00","1,807.00",82.0,August,Summer,8964.0
East Falls Church,995.00,684.00,507.00,154.00,5.0,August,Summer,2345.0
Eastern Market,710.00,"1,110.00","1,031.00",554.00,19.0,August,Summer,3424.0
Eisenhower Ave,395.00,312.00,343.00,133.00,4.0,August,Summer,1187.0
Farragut North,417.00,"1,614.00","4,337.00","1,260.00",50.0,August,Summer,7678.0
Farragut West,569.00,"1,605.00","4,204.00","1,029.00",34.0,August,Summer,7441.0
Federal Center SW,139.00,482.00,"1,216.00",148.00,6.0,August,Summer,1991.0
Federal Triangle,72.00,752.00,"2,192.00",305.00,8.0,August,Summer,3329.0
Foggy Bottom-GWU,"1,107.00","2,863.00","5,332.00","2,250.00",34.0,August,Summer,11586.0
Forest Glen,72.00,58.00,36.00,31.00,14.0,August,Summer,211.0
Fort Totten,"3,137.00","2,176.00","1,653.00",683.00,27.0,August,Summer,7676.0
Franconia-Springfield,"1,342.00",864.00,580.00,172.00,9.0,August,Summer,2967.0
Friendship Heights,866.00,993.00,998.00,371.00,17.0,August,Summer,3245.0
Gallery Place,662.00,"2,194.00","4,544.00","3,359.00",110.0,August,Summer,10869.0
Georgia Ave-Petworth,"1,098.00","1,136.00","1,029.00",424.00,12.0,August,Summer,3699.0
Glenmont,4.00,7.00,2.00,2.00,1.0,August,Summer,16.0
Greenbelt,"1,339.00",905.00,596.00,214.00,8.0,August,Summer,3062.0
Greensboro,171.00,206.00,387.00,151.00,5.0,August,Summer,920.0
Grosvenor-Strathmore,"1,003.00",648.00,410.00,133.00,9.0,August,Summer,2203.0
Herndon,437.00,252.00,178.00,56.00,2.0,August,Summer,925.0
Huntington,"1,643.00",830.00,519.00,171.00,10.0,August,Summer,3173.0
Hyattsville Crossing,"1,015.00",788.00,659.00,336.00,13.0,August,Summer,2811.0
Innovation Center,308.00,270.00,269.00,67.00,3.0,August,Summer,917.0
Judiciary Square,207.00,728.00,"1,680.00",345.00,18.0,August,Summer,2978.0
King St-Old Town,976.00,"1,044.00","1,021.00",506.00,17.0,August,Summer,3564.0
L'Enfant Plaza,964.00,"2,105.00","4,690.00","1,230.00",71.0,August,Summer,9060.0
Landover,465.00,178.00,100.00,50.00,6.0,August,Summer,799.0
Loudoun Gateway,125.00,73.00,67.00,20.00,1.0,August,Summer,286.0
McLean,271.00,348.00,907.00,214.00,5.0,August,Summer,1745.0
McPherson Sq,858.00,"1,477.00","2,798.00",871.00,63.0,August,Summer,6067.0
Medical Center,337.00,502.00,"1,377.00",218.00,12.0,August,Summer,2446.0
Metro Center,845.00,"2,308.00","5,638.00","2,091.00",69.0,August,Summer,10951.0
Minnesota Ave,451.00,397.00,338.00,128.00,6.0,August,Summer,1320.0
Morgan Boulevard,386.00,184.00,132.00,101.00,11.0,August,Summer,814.0
Mt Vernon Sq,543.00,996.00,"1,539.00",955.00,50.0,August,Summer,4083.0
Navy Yard-Ballpark,"1,229.00","1,674.00","3,311.00","3,997.00",82.0,August,Summer,10293.0
Naylor Road,552.00,293.00,164.00,94.00,5.0,August,Summer,1108.0
New Carrollton,"1,420.00",808.00,542.00,197.00,10.0,August,Summer,2977.0
NoMa-Gallaudet U,"2,140.00","2,382.00","2,848.00","1,141.00",34.0,August,Summer,8545.0
North Bethesda,629.00,537.00,521.00,212.00,7.0,August,Summer,1906.0
Pentagon,"1,653.00","1,394.00","2,885.00",222.00,7.0,August,Summer,6161.0
Pentagon City,"1,707.00","2,084.00","2,463.00","1,032.00",12.0,August,Summer,7298.0
Potomac Ave,797.00,623.00,435.00,205.00,8.0,August,Summer,2068.0
Potomac Yard,474.00,418.00,438.00,159.00,5.0,August,Summer,1494.0
Reston Town Center,254.00,226.00,291.00,100.00,4.0,August,Summer,875.0
Rhode Island Ave,"1,213.00","1,168.00",944.00,502.00,15.0,August,Summer,3842.0
Rockville,867.00,617.00,502.00,192.00,6.0,August,Summer,2184.0
Ronald Reagan Washington National Airport,599.00,"1,808.00","1,664.00","1,481.00",24.0,August,Summer,5576.0
Rosslyn,"1,290.00","1,723.00","2,505.00",788.00,25.0,August,Summer,6331.0
Shady Grove,"2,688.00","1,422.00",888.00,271.00,6.0,August,Summer,5275.0
Shaw-Howard U,551.00,816.00,"1,007.00",497.00,31.0,August,Summer,2902.0
Silver Spring,3.00,7.00,4.00,2.00,4.0,August,Summer,20.0
Smithsonian,141.00,"1,260.00","2,871.00",638.00,19.0,August,Summer,4929.0
Southern Ave,"1,107.00",600.00,372.00,179.00,9.0,August,Summer,2267.0
Spring Hill,156.00,182.00,239.00,104.00,5.0,August,Summer,686.0
Stadium-Armory,449.00,442.00,394.00,166.00,9.0,August,Summer,1460.0
Suitland,"1,069.00",543.00,329.00,163.00,9.0,August,Summer,2113.0
Takoma,"1,406.00","1,044.00",809.00,288.00,17.0,August,Summer,3564.0
Tenleytown-AU,502.00,885.00,"1,172.00",513.00,13.0,August,Summer,3085.0
Twinbrook,946.00,668.00,515.00,173.00,6.0,August,Summer,2308.0
Tysons,258.00,491.00,973.00,532.00,8.0,August,Summer,2262.0
U Street,777.00,"1,057.00","1,338.00","1,058.00",97.0,August,Summer,4327.0
Union Station,"2,891.00","2,884.00","3,929.00","1,711.00",46.0,August,Summer,11461.0
Van Dorn Street,631.00,356.00,246.00,115.00,10.0,August,Summer,1358.0
Van Ness-UDC,758.00,908.00,846.00,294.00,11.0,August,Summer,2817.0
Vienna,"1,530.00","1,048.00",702.00,220.00,7.0,August,Summer,3507.0
Virginia Sq-GMU,656.00,557.00,576.00,214.00,10.0,August,Summer,2013.0
Waterfront,614.00,866.00,"1,161.00",783.00,28.0,August,Summer,3452.0
West Falls Church,491.00,291.00,188.00,64.00,5.0,August,Summer,1039.0
West Hyattsville,"1,037.00",624.00,428.00,133.00,6.0,August,Summer,2228.0
Wheaton,45.00,47.00,21.00,21.00,14.0,August,Summer,148.0
Wiehle-Reston East,596.00,411.00,368.00,105.00,7.0,August,Summer,1487.0
Woodley Park,790.00,"1,121.00","1,254.00",371.00,30.0,August,Summer,3566.0
Addison Road,727.00,368.00,209.00,122.00,8.0,September,Fall,1434.0
Anacostia,"1,251.00","1,069.00","1,048.00",313.00,18.0,September,Fall,3699.0
Archives,157.00,"1,036.00","2,783.00",772.00,11.0,September,Fall,4759.0
Arlington Cemetery,41.00,468.00,367.00,31.00,5.0,September,Fall,912.0
Ashburn,659.00,349.00,213.00,66.00,2.0,September,Fall,1289.0
Ballston-MU,"1,660.00","1,368.00","1,674.00",618.00,20.0,September,Fall,5340.0
Benning Road,819.00,458.00,332.00,120.00,5.0,September,Fall,1734.0
Bethesda,"1,278.00","1,288.00","1,621.00",597.00,16.0,September,Fall,4800.0
Braddock Road,884.00,546.00,501.00,192.00,7.0,September,Fall,2130.0
Branch Ave,"1,338.00",512.00,320.00,123.00,4.0,September,Fall,2297.0
Brookland-CUA,"1,173.00","1,220.00","1,486.00",467.00,13.0,September,Fall,4359.0
Capitol Heights,610.00,286.00,207.00,76.00,6.0,September,Fall,1185.0
Capitol South,482.00,941.00,"2,290.00",508.00,8.0,September,Fall,4229.0
Cheverly,266.00,132.00,95.00,39.00,8.0,September,Fall,540.0
Clarendon,813.00,773.00,832.00,512.00,40.0,September,Fall,2970.0
Cleveland Park,703.00,735.00,634.00,292.00,11.0,September,Fall,2375.0
College Park-U of Md,632.00,703.00,714.00,283.00,9.0,September,Fall,2341.0
Columbia Heights,"1,840.00","2,329.00","2,902.00","1,150.00",30.0,September,Fall,8251.0
Congress Heights,631.00,417.00,391.00,159.00,6.0,September,Fall,1604.0
Court House,"1,270.00","1,038.00",987.00,420.00,18.0,September,Fall,3733.0
Crystal City,"1,260.00","1,392.00","1,631.00",491.00,15.0,September,Fall,4789.0
Deanwood,381.00,252.00,222.00,63.00,6.0,September,Fall,924.0
Downtown Largo,"1,081.00",449.00,319.00,134.00,7.0,September,Fall,1990.0
Dulles Airport,322.00,515.00,"1,046.00",574.00,4.0,September,Fall,2461.0
Dunn Loring,723.00,427.00,404.00,132.00,4.0,September,Fall,1690.0
Dupont Circle,"1,604.00","2,620.00","3,865.00","2,071.00",81.0,September,Fall,10241.0
East Falls Church,"1,106.00",699.00,540.00,164.00,5.0,September,Fall,2514.0
Eastern Market,909.00,"1,275.00","1,155.00",638.00,16.0,September,Fall,3993.0
Eisenhower Ave,450.00,318.00,363.00,127.00,5.0,September,Fall,1263.0
Farragut North,467.00,"1,765.00","5,291.00","1,545.00",63.0,September,Fall,9131.0
Farragut West,569.00,"1,658.00","4,717.00","1,209.00",35.0,September,Fall,8188.0
Federal Center SW,166.00,474.00,"1,275.00",193.00,7.0,September,Fall,2115.0
Federal Triangle,73.00,739.00,"2,204.00",324.00,8.0,September,Fall,3348.0
Foggy Bottom-GWU,"1,175.00","3,068.00","6,210.00","2,871.00",46.0,September,Fall,13370.0
Forest Glen,533.00,272.00,191.00,58.00,7.0,September,Fall,1061.0
Fort Totten,"2,571.00","1,733.00","1,614.00",516.00,16.0,September,Fall,6450.0
Franconia-Springfield,"1,366.00",833.00,545.00,173.00,4.0,September,Fall,2921.0
Friendship Heights,"1,055.00","1,079.00","1,122.00",387.00,14.0,September,Fall,3657.0
Gallery Place,783.00,"2,289.00","4,970.00","3,625.00",111.0,September,Fall,11778.0
Georgia Ave-Petworth,"1,305.00","1,183.00","1,327.00",453.00,14.0,September,Fall,4282.0
Glenmont,"1,328.00",684.00,396.00,144.00,12.0,September,Fall,2564.0
Greenbelt,"1,333.00",828.00,599.00,195.00,7.0,September,Fall,2962.0
Greensboro,182.00,200.00,393.00,147.00,3.0,September,Fall,925.0
Grosvenor-Strathmore,"1,074.00",646.00,519.00,205.00,20.0,September,Fall,2464.0
Herndon,456.00,235.00,167.00,51.00,4.0,September,Fall,913.0
Huntington,"1,716.00",835.00,514.00,165.00,9.0,September,Fall,3239.0
Hyattsville Crossing,"1,117.00",845.00,688.00,315.00,10.0,September,Fall,2975.0
Innovation Center,303.00,273.00,235.00,62.00,3.0,September,Fall,876.0
Judiciary Square,250.00,834.00,"2,022.00",544.00,20.0,September,Fall,3670.0
King St-Old Town,"1,036.00","1,100.00","1,116.00",536.00,20.0,September,Fall,3808.0
L'Enfant Plaza,985.00,"1,963.00","4,772.00","1,349.00",108.0,September,Fall,9177.0
Landover,513.00,182.00,108.00,50.00,4.0,September,Fall,857.0
Loudoun Gateway,132.00,67.00,65.00,22.00,1.0,September,Fall,287.0
McLean,292.00,345.00,889.00,226.00,7.0,September,Fall,1759.0
McPherson Sq,880.00,"1,418.00","3,044.00",933.00,57.0,September,Fall,6332.0
Medical Center,405.00,674.00,"1,514.00",247.00,10.0,September,Fall,2850.0
Metro Center,725.00,"2,321.00","6,292.00","2,372.00",72.0,September,Fall,11782.0
Minnesota Ave,560.00,401.00,392.00,134.00,8.0,September,Fall,1495.0
Morgan Boulevard,416.00,196.00,249.00,52.00,6.0,September,Fall,919.0
Mt Vernon Sq,655.00,908.00,"1,307.00",721.00,35.0,September,Fall,3626.0
Navy Yard-Ballpark,"1,418.00","1,598.00","3,811.00","3,613.00",94.0,September,Fall,10534.0
Naylor Road,647.00,295.00,166.00,97.00,4.0,September,Fall,1209.0
New Carrollton,"1,520.00",761.00,536.00,180.00,7.0,September,Fall,3004.0
NoMa-Gallaudet U,"2,597.00","2,599.00","3,361.00","1,331.00",41.0,September,Fall,9929.0
North Bethesda,618.00,525.00,550.00,210.00,6.0,September,Fall,1909.0
Pentagon,"1,753.00","1,359.00","2,943.00",231.00,6.0,September,Fall,6292.0
Pentagon City,"1,888.00","2,237.00","2,558.00","1,019.00",19.0,September,Fall,7721.0
Potomac Ave,988.00,613.00,486.00,205.00,8.0,September,Fall,2300.0
Potomac Yard,511.00,416.00,430.00,144.00,8.0,September,Fall,1509.0
Reston Town Center,258.00,218.00,293.00,95.00,4.0,September,Fall,868.0
Rhode Island Ave,"1,485.00","1,263.00","1,093.00",596.00,15.0,September,Fall,4452.0
Rockville,860.00,617.00,517.00,186.00,4.0,September,Fall,2184.0
Ronald Reagan Washington National Airport,640.00,"1,954.00","1,784.00","1,569.00",19.0,September,Fall,5966.0
Rosslyn,"1,449.00","1,898.00","2,697.00",881.00,31.0,September,Fall,6956.0
Shady Grove,"2,758.00","1,352.00",910.00,258.00,4.0,September,Fall,5282.0
Shaw-Howard U,684.00,873.00,"1,362.00",556.00,38.0,September,Fall,3513.0
Silver Spring,"1,750.00","1,402.00","1,325.00",587.00,20.0,September,Fall,5084.0
Smithsonian,151.00,"1,198.00","2,582.00",611.00,22.0,September,Fall,4564.0
Southern Ave,"1,214.00",569.00,386.00,167.00,7.0,September,Fall,2343.0
Spring Hill,159.00,173.00,241.00,93.00,4.0,September,Fall,670.0
Stadium-Armory,530.00,466.00,530.00,198.00,14.0,September,Fall,1738.0
Suitland,"1,197.00",547.00,341.00,145.00,6.0,September,Fall,2236.0
Takoma,"1,289.00",900.00,954.00,256.00,10.0,September,Fall,3409.0
Tenleytown-AU,701.00,"1,124.00","1,780.00",852.00,16.0,September,Fall,4473.0
Twinbrook,849.00,616.00,511.00,173.00,5.0,September,Fall,2154.0
Tysons,266.00,457.00,948.00,505.00,7.0,September,Fall,2183.0
U Street,949.00,"1,216.00","1,491.00","1,319.00",104.0,September,Fall,5079.0
Union Station,"3,294.00","3,209.00","4,927.00","2,115.00",66.0,September,Fall,13611.0
Van Dorn Street,655.00,366.00,239.00,106.00,7.0,September,Fall,1373.0
Van Ness-UDC,928.00,994.00,972.00,354.00,9.0,September,Fall,3257.0
Vienna,"1,623.00","1,039.00",742.00,241.00,6.0,September,Fall,3651.0
Virginia Sq-GMU,717.00,575.00,588.00,222.00,11.0,September,Fall,2113.0
Waterfront,740.00,900.00,"1,222.00",925.00,35.0,September,Fall,3822.0
West Falls Church,554.00,302.00,206.00,72.00,3.0,September,Fall,1137.0
West Hyattsville,"1,158.00",636.00,443.00,131.00,4.0,September,Fall,2372.0
Wheaton,668.00,509.00,430.00,190.00,15.0,September,Fall,1812.0
Wiehle-Reston East,626.00,390.00,352.00,93.00,5.0,September,Fall,1466.0
Woodley Park,950.00,"1,112.00","1,232.00",370.00,26.0,September,Fall,3690.0
Addison Road,798.00,392.00,223.00,116.00,9.0,October,Fall,1538.0
Anacostia,"1,347.00","1,118.00","1,131.00",313.00,14.0,October,Fall,3923.0
Archives,164.00,"1,140.00","3,086.00",836.00,13.0,October,Fall,5239.0
Arlington Cemetery,49.00,643.00,489.00,2.00,1.0,October,Fall,1184.0
Ashburn,754.00,357.00,230.00,68.00,1.0,October,Fall,1410.0
Ballston-MU,"1,894.00","1,477.00","1,850.00",667.00,18.0,October,Fall,5906.0
Benning Road,897.00,534.00,390.00,129.00,6.0,October,Fall,1956.0
Bethesda,"1,428.00","1,390.00","1,766.00",619.00,15.0,October,Fall,5218.0
Braddock Road,"1,032.00",595.00,567.00,202.00,9.0,October,Fall,2405.0
Branch Ave,"1,491.00",513.00,323.00,127.00,4.0,October,Fall,2458.0
Brookland-CUA,"1,263.00","1,335.00","1,625.00",474.00,11.0,October,Fall,4708.0
Capitol Heights,673.00,331.00,236.00,85.00,9.0,October,Fall,1334.0
Capitol South,527.00,"1,084.00","2,283.00",376.00,10.0,October,Fall,4280.0
Cheverly,279.00,148.00,95.00,37.00,7.0,October,Fall,566.0
Clarendon,952.00,800.00,861.00,522.00,37.0,October,Fall,3172.0
Cleveland Park,763.00,788.00,690.00,315.00,10.0,October,Fall,2566.0
College Park-U of Md,678.00,706.00,798.00,372.00,10.0,October,Fall,2564.0
Columbia Heights,"1,937.00","2,357.00","3,011.00","1,180.00",29.0,October,Fall,8514.0
Congress Heights,637.00,425.00,365.00,130.00,7.0,October,Fall,1564.0
Court House,"1,488.00","1,209.00","1,122.00",450.00,14.0,October,Fall,4283.0
Crystal City,"1,567.00","1,712.00","1,890.00",539.00,18.0,October,Fall,5726.0
Deanwood,400.00,299.00,276.00,76.00,13.0,October,Fall,1064.0
Downtown Largo,"1,204.00",466.00,350.00,163.00,6.0,October,Fall,2189.0
Dulles Airport,349.00,563.00,"1,124.00",580.00,3.0,October,Fall,2619.0
Dunn Loring,803.00,425.00,444.00,140.00,4.0,October,Fall,1816.0
Dupont Circle,"1,816.00","2,811.00","4,218.00","2,314.00",90.0,October,Fall,11249.0
East Falls Church,"1,243.00",733.00,585.00,175.00,8.0,October,Fall,2744.0
Eastern Market,959.00,"1,272.00","1,219.00",635.00,16.0,October,Fall,4101.0
Eisenhower Ave,542.00,400.00,440.00,139.00,5.0,October,Fall,1526.0
Farragut North,532.00,"2,037.00","6,134.00","2,031.00",64.0,October,Fall,10798.0
Farragut West,659.00,"1,958.00","5,450.00","1,627.00",37.0,October,Fall,9731.0
Federal Center SW,194.00,575.00,"1,407.00",153.00,7.0,October,Fall,2336.0
Federal Triangle,87.00,907.00,"2,508.00",505.00,10.0,October,Fall,4017.0
Foggy Bottom-GWU,"1,326.00","3,358.00","6,801.00","3,145.00",38.0,October,Fall,14668.0
Forest Glen,601.00,271.00,212.00,60.00,4.0,October,Fall,1148.0
Fort Totten,"2,711.00","1,763.00","1,709.00",530.00,21.0,October,Fall,6734.0
Franconia-Springfield,"1,614.00",891.00,594.00,164.00,4.0,October,Fall,3267.0
Friendship Heights,"1,158.00","1,170.00","1,249.00",429.00,15.0,October,Fall,4021.0
Gallery Place,862.00,"2,505.00","5,320.00","4,766.00",131.0,October,Fall,13584.0
Georgia Ave-Petworth,"1,409.00","1,268.00","1,385.00",454.00,15.0,October,Fall,4531.0
Glenmont,"1,559.00",716.00,440.00,151.00,11.0,October,Fall,2877.0
Greenbelt,"1,485.00",844.00,642.00,210.00,6.0,October,Fall,3187.0
Greensboro,196.00,217.00,430.00,145.00,4.0,October,Fall,992.0
Grosvenor-Strathmore,"1,263.00",843.00,590.00,199.00,10.0,October,Fall,2905.0
Herndon,504.00,248.00,183.00,49.00,2.0,October,Fall,986.0
Huntington,"1,890.00",880.00,559.00,177.00,10.0,October,Fall,3516.0
Hyattsville Crossing,"1,183.00",894.00,755.00,331.00,10.0,October,Fall,3173.0
Innovation Center,338.00,284.00,258.00,63.00,2.0,October,Fall,945.0
Judiciary Square,272.00,896.00,"2,173.00",538.00,13.0,October,Fall,3892.0
King St-Old Town,"1,273.00","1,302.00","1,234.00",572.00,19.0,October,Fall,4400.0
L'Enfant Plaza,"1,141.00","2,353.00","5,377.00","1,442.00",78.0,October,Fall,10391.0
Landover,550.00,199.00,122.00,54.00,4.0,October,Fall,929.0
Loudoun Gateway,146.00,75.00,74.00,19.00,1.0,October,Fall,315.0
McLean,337.00,381.00,"1,038.00",219.00,6.0,October,Fall,1981.0
McPherson Sq,983.00,"1,614.00","3,390.00","1,063.00",49.0,October,Fall,7099.0
Medical Center,387.00,519.00,"1,505.00",217.00,12.0,October,Fall,2640.0
Metro Center,804.00,"2,792.00","7,189.00","3,033.00",75.0,October,Fall,13893.0
Minnesota Ave,589.00,464.00,456.00,142.00,6.0,October,Fall,1657.0
Morgan Boulevard,470.00,204.00,352.00,340.00,8.0,October,Fall,1374.0
Mt Vernon Sq,748.00,"1,120.00","1,598.00",795.00,30.0,October,Fall,4291.0
Navy Yard-Ballpark,"1,631.00","1,652.00","2,796.00","1,524.00",42.0,October,Fall,7645.0
Naylor Road,660.00,304.00,174.00,97.00,6.0,October,Fall,1241.0
New Carrollton,"1,705.00",829.00,592.00,199.00,8.0,October,Fall,3333.0
NoMa-Gallaudet U,"2,920.00","2,846.00","3,706.00","1,418.00",39.0,October,Fall,10929.0
North Bethesda,653.00,498.00,544.00,196.00,9.0,October,Fall,1900.0
Pentagon,"1,999.00","1,718.00","3,155.00",235.00,8.0,October,Fall,7115.0
Pentagon City,"2,173.00","2,506.00","2,829.00","1,118.00",18.0,October,Fall,8644.0
Potomac Ave,"1,071.00",708.00,574.00,235.00,8.0,October,Fall,2596.0
Potomac Yard,607.00,453.00,466.00,143.00,6.0,October,Fall,1675.0
Reston Town Center,302.00,232.00,325.00,100.00,3.0,October,Fall,962.0
Rhode Island Ave,"1,526.00","1,320.00","1,214.00",597.00,15.0,October,Fall,4672.0
Rockville,900.00,580.00,510.00,178.00,5.0,October,Fall,2173.0
Ronald Reagan Washington National Airport,745.00,"2,125.00","1,967.00","1,655.00",19.0,October,Fall,6511.0
Rosslyn,"1,745.00","2,615.00","3,228.00",950.00,28.0,October,Fall,8566.0
Shady Grove,"2,949.00","1,235.00",914.00,244.00,6.0,October,Fall,5348.0
Shaw-Howard U,737.00,984.00,"1,539.00",710.00,39.0,October,Fall,4009.0
Silver Spring,"2,049.00","1,579.00","1,545.00",627.00,19.0,October,Fall,5819.0
Smithsonian,180.00,"1,753.00","3,124.00",759.00,20.0,October,Fall,5836.0
Southern Ave,"1,246.00",551.00,399.00,171.00,9.0,October,Fall,2376.0
Spring Hill,175.00,184.00,269.00,96.00,5.0,October,Fall,729.0
Stadium-Armory,591.00,647.00,689.00,210.00,15.0,October,Fall,2152.0
Suitland,"1,257.00",536.00,377.00,147.00,6.0,October,Fall,2323.0
Takoma,"1,400.00",965.00,"1,076.00",266.00,8.0,October,Fall,3715.0
Tenleytown-AU,785.00,"1,182.00","1,908.00",858.00,14.0,October,Fall,4747.0
Twinbrook,867.00,564.00,496.00,170.00,7.0,October,Fall,2104.0
Tysons,301.00,512.00,"1,068.00",553.00,8.0,October,Fall,2442.0
U Street,"1,017.00","1,261.00","1,597.00","1,469.00",115.0,October,Fall,5459.0
Union Station,"3,691.00","3,589.00","5,278.00","2,053.00",65.0,October,Fall,14676.0
Van Dorn Street,735.00,387.00,253.00,113.00,8.0,October,Fall,1496.0
Van Ness-UDC,"1,045.00","1,094.00","1,073.00",361.00,17.0,October,Fall,3590.0
Vienna,"1,846.00","1,072.00",804.00,257.00,5.0,October,Fall,3984.0
Virginia Sq-GMU,836.00,632.00,645.00,246.00,12.0,October,Fall,2371.0
Waterfront,827.00,943.00,"1,277.00",875.00,26.0,October,Fall,3948.0
West Falls Church,633.00,344.00,211.00,76.00,6.0,October,Fall,1270.0
West Hyattsville,"1,245.00",652.00,480.00,127.00,3.0,October,Fall,2507.0
Wheaton,748.00,537.00,485.00,214.00,12.0,October,Fall,1996.0
Wiehle-Reston East,700.00,410.00,383.00,99.00,7.0,October,Fall,1599.0
Woodley Park,"1,032.00","1,309.00","1,363.00",473.00,28.0,October,Fall,4205.0
Addison Road,658.00,361.00,204.00,93.00,5.0,November,Fall,1321.0
Anacostia,"1,134.00","1,072.00",988.00,273.00,17.0,November,Fall,3484.0
Archives,135.00,999.00,"2,422.00",568.00,13.0,November,Fall,4137.0
Arlington Cemetery,29.00,350.00,264.00,2.00,1.0,November,Fall,646.0
Ashburn,580.00,346.00,216.00,75.00,1.0,November,Fall,1218.0
Ballston-MU,"1,427.00","1,318.00","1,544.00",584.00,26.0,November,Fall,4899.0
Benning Road,737.00,491.00,331.00,110.00,9.0,November,Fall,1678.0
Bethesda,"1,105.00","1,274.00","1,500.00",548.00,15.0,November,Fall,4442.0
Braddock Road,782.00,538.00,476.00,169.00,11.0,November,Fall,1976.0
Branch Ave,"1,182.00",489.00,289.00,108.00,4.0,November,Fall,2072.0
Brookland-CUA,980.00,"1,104.00","1,315.00",340.00,11.0,November,Fall,3750.0
Capitol Heights,561.00,302.00,200.00,71.00,7.0,November,Fall,1141.0
Capitol South,413.00,874.00,"1,808.00",330.00,7.0,November,Fall,3432.0
Cheverly,231.00,122.00,77.00,29.00,7.0,November,Fall,466.0
Clarendon,695.00,734.00,775.00,471.00,45.0,November,Fall,2720.0
Cleveland Park,621.00,737.00,643.00,274.00,10.0,November,Fall,2285.0
College Park-U of Md,551.00,668.00,682.00,252.00,8.0,November,Fall,2161.0
Columbia Heights,"1,631.00","2,353.00","2,738.00","1,009.00",31.0,November,Fall,7762.0
Congress Heights,519.00,388.00,314.00,99.00,5.0,November,Fall,1325.0
