Station Name,AM Peak (Open-9:30am),Midday (9:30am-3pm),PM Peak (3pm-7pm),Evening (7pm-12am),Late Night (12am-Close),Time of Week,Total Daily Entries
Bethesda,"1,551.00","1,194.00","1,767.00",600.00,14.0,Weekdays,5126.0
Braddock Road,"1,142.00",491.00,534.00,190.00,12.0,Weekdays,2369.0
Branch Ave,"1,698.00",503.00,341.00,129.00,7.0,Weekdays,2678.0
Brookland-CUA,"1,398.00","1,140.00","1,496.00",419.00,11.0,Weekdays,4464.0
Capitol Heights,770.00,345.00,246.00,91.00,8.0,Weekdays,1460.0
Capitol South,619.00,"1,141.00","2,866.00",534.00,7.0,Weekdays,5167.0
Cheverly,319.00,144.00,98.00,37.00,6.0,Weekdays,604.0
Clarendon,"1,027.00",637.00,817.00,497.00,34.0,Weekdays,3012.0
Cleveland Park,870.00,660.00,619.00,290.00,10.0,Weekdays,2449.0
College Park-U of Md,802.00,547.00,682.00,227.00,7.0,Weekdays,2265.0
Columbia Heights,"2,185.00","2,140.00","3,050.00","1,097.00",23.0,Weekdays,8495.0
Congress Heights,738.00,459.00,409.00,158.00,7.0,Weekdays,1771.0
Court House,"1,578.00",897.00,"1,038.00",408.00,14.0,Weekdays,3935.0
Crystal City,"1,582.00","1,333.00","1,934.00",520.00,16.0,Weekdays,5385.0
Deanwood,461.00,313.00,274.00,93.00,9.0,Weekdays,1150.0
Downtown Largo,"1,411.00",453.00,338.00,143.00,8.0,Weekdays,2353.0
Dulles Airport,360.00,507.00,932.00,515.00,4.0,Weekdays,2318.0
Dunn Loring,884.00,375.00,429.00,125.00,4.0,Weekdays,1817.0
Dupont Circle,"1,910.00","2,296.00","4,204.00","2,113.00",64.0,Weekdays,10587.0
East Falls Church,"1,369.00",611.00,535.00,154.00,6.0,Weekdays,2675.0
Eastern Market,"1,086.00",991.00,"1,105.00",617.00,17.0,Weekdays,3816.0
Eisenhower Ave,558.00,298.00,394.00,127.00,4.0,Weekdays,1381.0
Farragut North,575.00,"2,007.00","6,521.00","1,783.00",46.0,Weekdays,10932.0
Farragut West,741.00,"1,868.00","5,984.00","1,424.00",28.0,Weekdays,10045.0
Federal Center SW,204.00,564.00,"1,560.00",180.00,7.0,Weekdays,2515.0
Federal Triangle,101.00,873.00,"2,719.00",401.00,10.0,Weekdays,4104.0
Foggy Bottom-GWU,"1,539.00","2,913.00","6,727.00","2,687.00",34.0,Weekdays,13900.0
Forest Glen,565.00,218.00,161.00,50.00,9.0,Weekdays,1003.0
Fort Totten,"3,365.00","1,862.00","1,776.00",557.00,23.0,Weekdays,7583.0
Franconia-Springfield,"1,788.00",786.00,601.00,171.00,7.0,Weekdays,3353.0
Friendship Heights,"1,293.00","1,122.00","1,251.00",409.00,17.0,Weekdays,4092.0
Gallery Place,915.00,"2,329.00","5,535.00","4,199.00",100.0,Weekdays,13078.0
Georgia Ave-Petworth,"1,573.00","1,192.00","1,370.00",440.00,14.0,Weekdays,4589.0
Glenmont,"1,409.00",533.00,333.00,110.00,10.0,Weekdays,2395.0
Greenbelt,"1,672.00",770.00,604.00,203.00,7.0,Weekdays,3256.0
Greensboro,231.00,204.00,453.00,142.00,4.0,Weekdays,1034.0
Grosvenor-Strathmore,"1,349.00",591.00,451.00,123.00,9.0,Weekdays,2523.0
Herndon,552.00,206.00,167.00,47.00,2.0,Weekdays,974.0
Huntington,"2,146.00",781.00,525.00,165.00,10.0,Weekdays,3627.0
Hyattsville Crossing,"1,319.00",804.00,714.00,317.00,11.0,Weekdays,3165.0
Innovation Center,371.00,235.00,248.00,55.00,1.0,Weekdays,910.0
Judiciary Square,299.00,880.00,"2,267.00",482.00,16.0,Weekdays,3944.0
King St-Old Town,"1,315.00","1,084.00","1,131.00",492.00,24.0,Weekdays,4046.0
L'Enfant Plaza,"1,265.00","2,283.00","5,656.00","1,218.00",74.0,Weekdays,10496.0
