X,Y,NAME,ADDRESS,LINE,STATION_TYPE,NUMBER_OF_LINES
-8584198.94553565,4704810.4160427,Ballston-MU,"4230 FAIRFAX DRIVE, ARLINGTON, VA","orange, silver","['Residential', 'Jobs']",2
-8576131.23895494,4707546.44742689,Farragut West,"841 17TH STREET NW, WASHINGTON, DC","blue, orange, silver",['Jobs'],3
-8576020.52191385,4707816.66512468,Farragut North,"1720 L STREET NW, WASHINGTON, DC",red,['Jobs'],1
-8577436.19401395,4710947.44988377,Woodley Park,"2622 CONNECTICUT AVENUE NW, WASHINGTON, DC",red,['Tourist'],1
-8574039.88659281,4705190.07743124,L'Enfant Plaza,"600 MARYLAND AVENUE SW, WASHINGTON, DC","green, yellow, orange, blue, silver","['Jobs', 'Tourist']",5
-8574725.36444348,4705644.99547212,Smithsonian,"1201 JEFFERSON DRIVE SW, WASHINGTON, DC","blue, orange, silver",['Tourist'],3
-8574040.54387247,4706452.56707492,Archives,"300 7TH STREET NW, WASHINGTON, DC","green, yellow","['Tourist', 'Jobs']",2
-8573549.71602008,4703992.32465403,Waterfront,"399 M STREET SW, WASHINGTON, DC",green,"['Residential', 'Events']",1
-8576503.81163741,4700697.5361925,Ronald Reagan Washington National Airport,"2400 S. SMITH BLVD., ARLINGTON, VA","blue, yellow","['Jobs', 'Events']",2
-8585973.67750757,4692965.86238618,Van Dorn Street,"5690 EISENHOWER AVENUE, ALEXANDRIA, VA",blue,['Residential'],1
-8590299.40450979,4688283.91029613,Franconia-Springfield,"6880 FRONTIER DRIVE, SPRINGFIELD, VA",blue,['Residential'],1
-8573367.48692163,4705223.63132168,Federal Center SW,"401 3RD STREET SW, WASHINGTON, DC","blue, orange, silver",['Jobs'],3
-8573453.28537188,4706799.42638213,Judiciary Square,"435 4TH STREET NW, WASHINGTON, DC",red,['Jobs'],1
-8572173.16232883,4705222.22213222,Capitol South,"355 1ST STREET SE, WASHINGTON, DC","blue, orange, silver",['Jobs'],3
-8574726.67395321,4707117.55592726,Metro Center,"607 13TH STREET NW, WASHINGTON, DC","red, blue, orange, silver",['Jobs'],4
-8574040.65549347,4707117.89017593,Gallery Place,"625 9TH STREET NW, WASHINGTON, DC","red, green, yellow","['Jobs', 'Tourist']",3
-8574040.54311174,4708279.41068819,Mt Vernon Sq,"700 M STREET NW, WASHINGTON, DC","green, yellow","['Jobs', 'Tourist']",2
-8574661.87451332,4709790.95626468,U Street,"1260 U STREET NW, WASHINGTON, DC",green,"['Residential', 'Tourist']",1
-8572426.40011682,4707039.11047,Union Station,"605 1ST STREET NE, WASHINGTON, DC",red,"['Jobs', 'Tourist']",1
-8570322.19806411,4699588.52589848,Congress Heights,"1300 ALABAMA AVENUE SE, WASHINGTON, DC",green,['Residential'],1
-8566732.22988446,4700395.21046822,Naylor Road,"3101 BRANCH AVENUE, TEMPLE HILLS, MD",green,['Residential'],1
-8564016.8626885,4699346.52703401,Suitland,"4500 SILVER HILL ROAD, SUITLAND, MD",green,['Residential'],1
-8596888.46274931,4705016.66626744,Dunn Loring,"2700 GALLOWS ROAD, VIENNA, VA",orange,['Residential'],1
-8601949.22475387,4704155.22937674,Vienna,"2900 NUTLEY ST., FAIRFAX, VA",orange,['Residential'],1
-8581062.73773061,4715870.76174934,Friendship Heights,"5337 WISCONSIN AVENUE NW, WASHINGTON, DC",red,['Residential'],1
-8578228.88887636,4701907.7872941,Pentagon City,"1250 SOUTH HAYES ST., ARLINGTON, VA","blue, yellow","['Jobs', 'Events']",2
-8574732.68530906,4706383.29202841,Federal Triangle,"350 12TH STREET NW, WASHINGTON, DC","blue, orange, silver",['Jobs'],3
-8611696.6689701,4714909.36513587,Reston Town Center,"12023-A SUNSET HILLS RD, RESTON, VA 20190",silver,['Residential'],1
-8614478.87811793,4714916.95098346,Herndon,"585-A HERNDON PKY, HERNDON, VA 20170",silver,['Residential'],1
-8617831.48809987,4716053.1644627,Innovation Center,"13747-A SUNRISE VALLEY DR, HERNDON, VA 20171",silver,['Residential'],1
-8621488.66885484,4715341.10170491,Dulles Airport,"44920 SAARINEN CIR, DULLES, VA 20166",silver,"['Jobs', 'Events']",1
-8622884.28179803,4720532.55046356,Loudoun Gateway,"22505-A LOCK RIDGE RD, STERLING, VA 20166",silver,['Residential'],1
-8626318.71105577,4722429.46159221,Ashburn,"43625-A CROSON LN, ASHBURN, VA 20147",silver,['Residential'],1
-8576766.75839349,4697923.27004573,Potomac Yard,"2900 POTOMAC GREENS DRIVE, ALEXANDRIA, VA 22314 ","blue, yellow",['Residential'],2
