X,Y,NAME,ADDRESS,LINE,TRAININFO_URL,WEB_URL,GIS_ID,MAR_ID,GLOBALID,OBJECTID,CREATOR,CREATED,EDITOR,EDITED,SE_ANNO_CAD_DATA
-8576433.91063075,4708731.64426284,Dupont Circle,"1525 20TH STREET NW, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A03|Dupont Circle,https://www.wmata.com/rider-guide/stations/dupont-circle.cfm,MetroStnFullPt_77,,{A2575E22-F3EC-4FBD-9D9F-A2533EB3ABDF},666,JLAY,2022/11/30 20:32:57+00,JLAY,2022/11/30 20:32:57+00,
-8577580.64771134,4702991.54813254,Pentagon,"2 SOUTH ROTARY ROAD, ARLINGTON, VA","blue, yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#C07|Pentagon,https://www.wmata.com/rider-guide/stations/pentagon.cfm,MetroStnFullPt_78,,{1F781087-2E29-44DA-BC00-AF784039FE7B},667,JLAY,2022/11/30 20:32:57+00,JLAY,2022/11/30 20:32:57+00,
-8577199.28210905,4701339.08772698,Crystal City,"1750 SOUTH CLARK ST., ARLINGTON, VA","blue, yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#C09|Crystal City,https://www.wmata.com/rider-guide/stations/crystal-city.cfm,MetroStnFullPt_79,,{70F6FDA2-F3E3-4F64-8D9E-6DE354C07F7C},668,JLAY,2022/11/30 20:32:57+00,JLAY,2022/11/30 20:32:57+00,
-8572167.17678031,4703995.07274476,Navy Yard-Ballpark,"1155 NEW JERSEY AVENUE SE, WASHINGTON, DC",green,https://www.wmata.com/js/nexttrain/nexttrain.html#F05|Navy Yard-Ballpark,https://www.wmata.com/rider-guide/stations/navy-yard.cfm,MetroStnFullPt_80,310434,{2C674F9C-CE73-4523-B02E-59C1664409AC},669,JLAY,2022/11/30 20:32:57+00,JLAY,2022/11/30 20:32:57+00,
-8575345.18473187,4707549.29439127,McPherson Sq,"1402 I STREET NW, WASHINGTON, DC","blue, orange, silver",https://www.wmata.com/js/nexttrain/nexttrain.html#C02|McPherson Square,https://www.wmata.com/rider-guide/stations/mcpherson-sq.cfm,MetroStnFullPt_81,316430,{FB63C8B0-54DE-4EB9-BCC1-D7BC05301F13},670,JLAY,2022/11/30 20:32:57+00,JLAY,2022/11/30 20:32:57+00,
-8574040.24486766,4709286.55818245,Shaw-Howard U,"1801 7TH ST NW, WASHINGTON, DC",green,https://www.wmata.com/js/nexttrain/nexttrain.html#E02|Shaw-Howard%20U,https://www.wmata.com/rider-guide/stations/shaw-howard.cfm,MetroStnFullPt_82,310410,{CD8CE6FF-4382-4668-A87A-1BD781562BB3},671,JLAY,2022/11/30 20:32:57+00,JLAY,2024/03/19 19:27:02+00,
-8568824.08282108,4698935.08117008,Southern Avenue,"1411 SOUTHERN AVENUE, TEMPLE HILLS, MD",green,https://www.wmata.com/js/nexttrain/nexttrain.html#F08|Southern%20Avenue,https://www.wmata.com/rider-guide/stations/southern-ave.cfm,MetroStnFullPt_83,,{1DB66F55-54F9-4151-B089-92E0C287DD62},672,JLAY,2022/11/30 20:32:57+00,JLAY,2022/11/30 20:32:57+00,
-8561700.01664412,4723269.36655638,Greenbelt,"5717 GREENBELT METRO DRIVE, GREENBELT, MD",green,https://www.wmata.com/js/nexttrain/nexttrain.html#E10|Greenbelt,https://www.wmata.com/rider-guide/stations/greenbelt.cfm,MetroStnFullPt_84,,{E8AB7FE9-199E-458D-A82D-F3AD208546D6},673,JLAY,2022/11/30 20:32:57+00,JLAY,2024/03/19 19:27:02+00,
-8580460.66828588,4714348.74113695,Tenleytown-AU,"4501 WISCONSIN AVENUE NW, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A07|Tenleytown-AU,https://www.wmata.com/rider-guide/stations/tenleytown.cfm,MetroStnFullPt_85,294846,{6581A6F8-18F1-4277-BB96-720298CB096D},674,JLAY,2022/11/30 20:32:57+00,JLAY,2022/11/30 20:32:57+00,
-8592650.99056343,4707470.29940386,West Falls Church,"7040 HAYCOCK ROAD, FALLS CHURCH, VA",orange,https://www.wmata.com/js/nexttrain/nexttrain.html#K06|West%20Falls%20Church-VT/UVA,https://www.wmata.com/rider-guide/stations/west-falls-church.cfm,MetroStnFullPt_86,,{A2A12536-FD0D-425C-998D-28414AEB443E},675,JLAY,2022/11/30 20:32:57+00,JLAY,2022/11/30 20:32:57+00,
-8609456.34417106,4714188.63322189,Wiehle-Reston East,"1862 WIEHLE AVENUE RESTON, VA 20190",silver,https://www.wmata.com/js/nexttrain/nexttrain.html#N06|Wiehle-Reston%20East,https://www.wmata.com/rider-guide/stations/wiehle-reston.cfm,MetroStnFullPt_53,,{C848030E-1D8D-4599-A966-404F23B5525B},676,JLAY,2022/11/30 20:32:57+00,JLAY,2022/11/30 20:32:57+00,
-8563599.95226489,4718612.60370019,College Park-U of Md,"4931 CALVERT ROAD, COLLEGE PARK, MD",green,https://www.wmata.com/js/nexttrain/nexttrain.html#E09|College Park-U of MD,https://www.wmata.com/rider-guide/stations/college-park.cfm,MetroStnFullPt_54,,{430ACADE-D35D-4988-B813-37EC8EE1A724},677,JLAY,2022/11/30 20:32:57+00,JLAY,2024/03/19 19:27:02+00,
-8561783.56572979,4705851.96360993,Capitol Heights,"133 CENTRAL AVENUE, CAPITOL HEIGHTS, MD","blue, silver",https://www.wmata.com/js/nexttrain/nexttrain.html#G02|Capitol Heights,https://www.wmata.com/rider-guide/stations/capitol-hghts.cfm,MetroStnFullPt_55,,{1BBABA9D-DEBE-4CF4-95A4-27A01A05A052},678,JLAY,2022/11/30 20:32:57+00,JLAY,2024/03/19 19:27:02+00,
